,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
0,information security,testing,poor,programming,testing,BPA,yes,Applications Developer
1,shell programming,testing,medium,Management,system developer,Cloud Services,no,Applications Developer
2,information security,testing,poor,data engineering,Business process analyst,product development,no,Applications Developer
3,r programming,database security,poor,networks,testing,Testing and Maintainance Services,yes,Applications Developer
4,distro making,game development,medium,Software Engineering,system developer,BPA,yes,Applications Developer
5,distro making,data science,excellent,cloud computing,security,Cloud Services,no,Applications Developer
6,machine learning,system designing,excellent,cloud computing,testing,Cloud Services,no,Applications Developer
7,machine learning,hacking,poor,parallel computing,developer,BPA,no,Applications Developer
8,full stack,game development,excellent,programming,Business process analyst,SAaS services,yes,Applications Developer
9,machine learning,cloud computing,poor,networks,system developer,SAaS services,yes,Applications Developer
10,full stack,data science,medium,IOT,developer,Web Services,no,Applications Developer
11,information security,web technologies,medium,parallel computing,Business process analyst,Finance,yes,Applications Developer
12,hadoop,hacking,medium,networks,Business process analyst,Sales and Marketing,yes,Applications Developer
13,shell programming,cloud computing,poor,Computer Architecture,security,Sales and Marketing,no,Applications Developer
14,hadoop,cloud computing,medium,Software Engineering,cloud computing,Product based,yes,Applications Developer
15,distro making,database security,poor,Computer Architecture,system developer,Testing and Maintainance Services,yes,Applications Developer
16,r programming,hacking,medium,networks,developer,Cloud Services,yes,Applications Developer
17,information security,game development,excellent,hacking,testing,Testing and Maintainance Services,no,Applications Developer
18,information security,database security,poor,data engineering,cloud computing,Product based,no,Applications Developer
19,distro making,database security,medium,Computer Architecture,security,Cloud Services,no,Applications Developer
20,information security,data science,excellent,hacking,system developer,Sales and Marketing,no,Applications Developer
21,r programming,cloud computing,poor,cloud computing,Business process analyst,SAaS services,no,Applications Developer
22,hadoop,game development,poor,cloud computing,testing,BPA,yes,Applications Developer
23,hadoop,system designing,poor,networks,cloud computing,SAaS services,no,Applications Developer
24,information security,hacking,poor,Management,Business process analyst,product development,yes,Applications Developer
25,information security,database security,poor,IOT,system developer,SAaS services,no,Applications Developer
26,hadoop,cloud computing,poor,parallel computing,Business process analyst,Sales and Marketing,no,Applications Developer
27,information security,game development,poor,programming,security,Web Services,yes,Applications Developer
28,full stack,system designing,poor,Management,system developer,BPA,no,Applications Developer
29,full stack,testing,excellent,cloud computing,Business process analyst,Product based,no,Applications Developer
30,shell programming,system designing,medium,cloud computing,Business process analyst,Finance,no,Applications Developer
31,information security,system designing,medium,programming,developer,Finance,no,Applications Developer
32,shell programming,game development,medium,parallel computing,system developer,BPA,no,Applications Developer
33,shell programming,system designing,medium,cloud computing,security,Sales and Marketing,no,Applications Developer
34,app development,data science,medium,Computer Architecture,security,SAaS services,yes,Applications Developer
35,hadoop,game development,poor,data engineering,Business process analyst,Web Services,yes,Applications Developer
36,r programming,game development,excellent,hacking,Business process analyst,BPA,no,Applications Developer
37,app development,cloud computing,excellent,networks,security,product development,yes,Applications Developer
38,hadoop,game development,excellent,cloud computing,cloud computing,BPA,no,Applications Developer
39,shell programming,web technologies,excellent,cloud computing,testing,product development,yes,Applications Developer
40,machine learning,database security,poor,hacking,cloud computing,Finance,yes,Applications Developer
41,information security,testing,poor,parallel computing,Business process analyst,Finance,yes,Applications Developer
42,r programming,system designing,excellent,data engineering,security,Cloud Services,no,Applications Developer
43,app development,web technologies,poor,Computer Architecture,testing,Finance,no,Applications Developer
44,python,cloud computing,excellent,Management,system developer,BPA,yes,Applications Developer
45,hadoop,cloud computing,medium,Management,security,SAaS services,no,Applications Developer
46,shell programming,web technologies,medium,networks,security,Sales and Marketing,no,Applications Developer
47,app development,hacking,poor,cloud computing,Business process analyst,Web Services,no,Applications Developer
48,shell programming,data science,excellent,programming,security,BPA,no,Applications Developer
49,r programming,data science,poor,networks,cloud computing,Product based,no,Applications Developer
50,machine learning,cloud computing,excellent,data engineering,developer,Sales and Marketing,yes,Applications Developer
51,hadoop,system designing,poor,Computer Architecture,cloud computing,BPA,no,Applications Developer
52,information security,cloud computing,medium,parallel computing,developer,Service Based,no,Applications Developer
53,machine learning,hacking,medium,hacking,Business process analyst,Finance,yes,Applications Developer
54,machine learning,system designing,excellent,hacking,testing,SAaS services,no,Applications Developer
55,hadoop,web technologies,excellent,programming,security,Web Services,no,Applications Developer
56,r programming,data science,poor,data engineering,developer,Testing and Maintainance Services,yes,Applications Developer
57,shell programming,game development,poor,networks,Business process analyst,product development,no,Applications Developer
58,hadoop,system designing,medium,parallel computing,system developer,Service Based,yes,Applications Developer
59,machine learning,game development,poor,networks,system developer,Finance,no,Applications Developer
60,full stack,system designing,poor,data engineering,security,product development,no,Applications Developer
61,hadoop,cloud computing,medium,IOT,Business process analyst,Sales and Marketing,yes,Applications Developer
62,r programming,data science,poor,parallel computing,developer,Product based,yes,Applications Developer
63,r programming,cloud computing,medium,IOT,developer,Finance,yes,Applications Developer
64,hadoop,system designing,excellent,data engineering,system developer,Web Services,yes,Applications Developer
65,full stack,testing,medium,hacking,Business process analyst,SAaS services,no,Applications Developer
66,hadoop,testing,poor,cloud computing,cloud computing,Cloud Services,yes,Applications Developer
67,hadoop,hacking,medium,Computer Architecture,cloud computing,Finance,yes,Applications Developer
68,information security,cloud computing,excellent,programming,security,Cloud Services,no,Applications Developer
69,r programming,database security,poor,programming,testing,Testing and Maintainance Services,no,Applications Developer
70,full stack,hacking,excellent,cloud computing,testing,Service Based,no,Applications Developer
71,machine learning,data science,excellent,cloud computing,cloud computing,Testing and Maintainance Services,yes,Applications Developer
72,r programming,testing,excellent,networks,Business process analyst,Sales and Marketing,no,Applications Developer
73,information security,web technologies,medium,networks,developer,Testing and Maintainance Services,yes,Applications Developer
74,r programming,data science,poor,Computer Architecture,testing,Service Based,no,Applications Developer
75,python,web technologies,excellent,IOT,security,BPA,yes,Applications Developer
76,distro making,system designing,excellent,parallel computing,testing,Testing and Maintainance Services,no,Applications Developer
77,app development,data science,excellent,Computer Architecture,cloud computing,Web Services,yes,Applications Developer
78,app development,cloud computing,poor,programming,Business process analyst,Service Based,no,Applications Developer
79,r programming,game development,poor,Software Engineering,system developer,product development,yes,Applications Developer
80,python,data science,medium,Management,testing,SAaS services,yes,Applications Developer
81,shell programming,data science,medium,Computer Architecture,cloud computing,Finance,yes,Applications Developer
82,distro making,game development,poor,hacking,system developer,Finance,no,Applications Developer
83,shell programming,system designing,excellent,cloud computing,developer,Sales and Marketing,no,Applications Developer
84,r programming,web technologies,poor,networks,cloud computing,Testing and Maintainance Services,yes,Applications Developer
85,python,game development,excellent,Management,Business process analyst,BPA,no,Applications Developer
86,app development,data science,medium,data engineering,security,Web Services,yes,Applications Developer
87,shell programming,system designing,medium,Computer Architecture,system developer,Testing and Maintainance Services,yes,Applications Developer
88,shell programming,testing,poor,hacking,cloud computing,Testing and Maintainance Services,no,Applications Developer
89,r programming,database security,medium,networks,security,Web Services,yes,Applications Developer
90,hadoop,web technologies,medium,Management,cloud computing,Sales and Marketing,yes,Applications Developer
91,information security,game development,poor,Computer Architecture,cloud computing,Cloud Services,yes,Applications Developer
92,shell programming,system designing,medium,hacking,developer,Finance,yes,Applications Developer
93,app development,cloud computing,medium,Computer Architecture,developer,Service Based,no,Applications Developer
94,machine learning,testing,poor,networks,testing,Sales and Marketing,no,Applications Developer
95,machine learning,data science,poor,Software Engineering,system developer,Service Based,yes,Applications Developer
96,app development,game development,excellent,Software Engineering,security,Product based,no,Applications Developer
97,shell programming,testing,medium,data engineering,Business process analyst,Service Based,yes,Applications Developer
98,machine learning,cloud computing,excellent,Computer Architecture,testing,Sales and Marketing,yes,Applications Developer
99,python,system designing,poor,data engineering,security,BPA,no,Applications Developer
100,machine learning,game development,medium,parallel computing,developer,Cloud Services,yes,Applications Developer
101,hadoop,web technologies,excellent,Software Engineering,testing,Product based,no,Applications Developer
102,python,hacking,medium,cloud computing,system developer,Cloud Services,no,Applications Developer
103,shell programming,hacking,medium,programming,system developer,Testing and Maintainance Services,yes,Applications Developer
104,full stack,system designing,poor,Software Engineering,developer,Service Based,yes,Applications Developer
105,r programming,database security,poor,programming,system developer,Product based,yes,Applications Developer
106,full stack,testing,poor,networks,developer,product development,no,Applications Developer
107,information security,cloud computing,excellent,IOT,developer,Web Services,yes,Applications Developer
108,full stack,game development,poor,Computer Architecture,system developer,product development,yes,Applications Developer
109,distro making,cloud computing,excellent,parallel computing,testing,SAaS services,no,Applications Developer
110,app development,hacking,excellent,Computer Architecture,security,product development,yes,Applications Developer
111,shell programming,cloud computing,medium,parallel computing,cloud computing,Testing and Maintainance Services,no,Applications Developer
112,information security,web technologies,excellent,parallel computing,Business process analyst,Finance,no,Applications Developer
113,app development,game development,medium,parallel computing,testing,product development,yes,Applications Developer
114,shell programming,game development,medium,hacking,Business process analyst,Product based,no,Applications Developer
115,distro making,cloud computing,poor,programming,Business process analyst,BPA,no,Applications Developer
116,distro making,database security,excellent,networks,security,SAaS services,yes,Applications Developer
117,hadoop,system designing,excellent,cloud computing,security,Testing and Maintainance Services,no,Applications Developer
118,full stack,data science,poor,Computer Architecture,developer,Finance,yes,Applications Developer
119,app development,testing,excellent,parallel computing,cloud computing,Product based,no,Applications Developer
120,app development,web technologies,medium,networks,cloud computing,product development,no,Applications Developer
121,python,database security,poor,cloud computing,system developer,Finance,no,Applications Developer
122,shell programming,data science,excellent,Management,cloud computing,Sales and Marketing,yes,Applications Developer
123,shell programming,hacking,medium,programming,cloud computing,Finance,no,Applications Developer
124,full stack,database security,poor,networks,cloud computing,BPA,no,Applications Developer
125,machine learning,game development,poor,parallel computing,Business process analyst,Testing and Maintainance Services,no,Applications Developer
126,full stack,hacking,poor,Software Engineering,security,Finance,yes,Applications Developer
127,shell programming,database security,poor,Management,testing,Product based,no,Applications Developer
128,r programming,data science,excellent,hacking,cloud computing,Web Services,no,Applications Developer
129,shell programming,database security,excellent,Computer Architecture,security,Testing and Maintainance Services,no,Applications Developer
130,shell programming,web technologies,excellent,cloud computing,system developer,Sales and Marketing,no,Applications Developer
131,shell programming,system designing,medium,cloud computing,security,Cloud Services,yes,Applications Developer
132,python,system designing,medium,parallel computing,developer,Product based,yes,Applications Developer
133,machine learning,web technologies,excellent,programming,testing,Web Services,yes,Applications Developer
134,hadoop,game development,medium,cloud computing,Business process analyst,Product based,yes,Applications Developer
135,python,testing,excellent,hacking,security,Product based,yes,Applications Developer
136,r programming,database security,excellent,hacking,developer,SAaS services,no,Applications Developer
137,shell programming,hacking,poor,IOT,cloud computing,Finance,no,Applications Developer
138,shell programming,testing,excellent,Management,cloud computing,Testing and Maintainance Services,no,Applications Developer
139,python,web technologies,poor,IOT,developer,SAaS services,yes,Applications Developer
140,information security,data science,medium,Computer Architecture,system developer,Finance,yes,Applications Developer
141,shell programming,system designing,excellent,IOT,Business process analyst,BPA,yes,Applications Developer
142,distro making,web technologies,medium,Management,developer,Sales and Marketing,no,Applications Developer
143,full stack,testing,excellent,programming,cloud computing,Product based,no,Applications Developer
144,distro making,data science,excellent,Management,cloud computing,product development,yes,Applications Developer
145,machine learning,database security,excellent,IOT,cloud computing,product development,yes,Applications Developer
146,app development,web technologies,poor,cloud computing,developer,Service Based,yes,Applications Developer
147,shell programming,testing,poor,parallel computing,developer,Web Services,yes,Applications Developer
148,distro making,hacking,medium,hacking,developer,Service Based,no,Applications Developer
149,shell programming,game development,medium,parallel computing,system developer,Finance,no,Applications Developer
150,hadoop,data science,medium,IOT,cloud computing,Web Services,yes,Applications Developer
151,shell programming,game development,excellent,IOT,Business process analyst,Service Based,yes,Applications Developer
152,r programming,data science,poor,Computer Architecture,developer,Sales and Marketing,yes,Applications Developer
153,r programming,database security,poor,hacking,security,BPA,no,Applications Developer
154,machine learning,game development,poor,networks,testing,Service Based,no,Applications Developer
155,shell programming,cloud computing,poor,cloud computing,security,Finance,yes,Applications Developer
156,hadoop,testing,excellent,Computer Architecture,system developer,Web Services,no,Applications Developer
157,distro making,web technologies,medium,programming,cloud computing,Sales and Marketing,no,Applications Developer
158,hadoop,system designing,poor,Management,system developer,SAaS services,no,Applications Developer
159,hadoop,game development,excellent,Computer Architecture,Business process analyst,Cloud Services,no,Applications Developer
160,hadoop,game development,excellent,parallel computing,testing,Finance,yes,Applications Developer
161,shell programming,game development,excellent,programming,system developer,Web Services,yes,Applications Developer
162,shell programming,system designing,poor,programming,system developer,product development,no,Applications Developer
163,app development,data science,excellent,Software Engineering,cloud computing,Cloud Services,no,Applications Developer
164,distro making,cloud computing,poor,Management,testing,Finance,yes,Applications Developer
165,hadoop,hacking,excellent,parallel computing,developer,SAaS services,yes,Applications Developer
166,machine learning,web technologies,medium,parallel computing,Business process analyst,Cloud Services,yes,Applications Developer
167,machine learning,hacking,medium,Computer Architecture,developer,Sales and Marketing,yes,Applications Developer
168,machine learning,cloud computing,excellent,programming,developer,Cloud Services,yes,Applications Developer
169,python,cloud computing,poor,cloud computing,Business process analyst,BPA,no,Applications Developer
170,full stack,hacking,excellent,cloud computing,Business process analyst,Cloud Services,yes,Applications Developer
171,python,hacking,medium,programming,testing,Service Based,yes,Applications Developer
172,full stack,testing,medium,cloud computing,system developer,Web Services,yes,Applications Developer
173,shell programming,data science,excellent,programming,security,Product based,no,Applications Developer
174,distro making,data science,medium,programming,Business process analyst,Testing and Maintainance Services,no,Applications Developer
175,machine learning,data science,medium,Management,Business process analyst,Sales and Marketing,no,Applications Developer
176,full stack,system designing,poor,Computer Architecture,testing,Web Services,yes,Applications Developer
177,information security,database security,poor,cloud computing,testing,Testing and Maintainance Services,no,Applications Developer
178,information security,game development,poor,Management,Business process analyst,Product based,no,Applications Developer
179,information security,hacking,medium,IOT,system developer,Testing and Maintainance Services,yes,Applications Developer
180,python,system designing,poor,data engineering,system developer,SAaS services,yes,Applications Developer
181,hadoop,database security,medium,IOT,cloud computing,product development,yes,Applications Developer
182,hadoop,hacking,excellent,IOT,developer,Service Based,no,Applications Developer
183,hadoop,system designing,medium,data engineering,developer,Sales and Marketing,no,Applications Developer
184,full stack,data science,poor,Management,system developer,Testing and Maintainance Services,yes,Applications Developer
185,shell programming,system designing,medium,hacking,testing,Finance,yes,Applications Developer
186,hadoop,system designing,medium,data engineering,testing,Sales and Marketing,no,Applications Developer
187,information security,testing,medium,data engineering,security,SAaS services,no,Applications Developer
188,information security,database security,poor,hacking,cloud computing,SAaS services,no,Applications Developer
189,r programming,data science,medium,cloud computing,security,Web Services,no,Applications Developer
190,information security,system designing,medium,hacking,cloud computing,Sales and Marketing,no,Applications Developer
191,full stack,hacking,medium,Software Engineering,system developer,SAaS services,yes,Applications Developer
192,python,game development,medium,networks,security,Sales and Marketing,no,Applications Developer
193,shell programming,game development,medium,Computer Architecture,testing,Testing and Maintainance Services,yes,Applications Developer
194,hadoop,testing,poor,IOT,developer,Cloud Services,yes,Applications Developer
195,hadoop,system designing,medium,programming,testing,Product based,no,Applications Developer
196,shell programming,web technologies,poor,Management,cloud computing,Web Services,yes,Applications Developer
197,information security,hacking,excellent,Management,security,Testing and Maintainance Services,no,Applications Developer
198,python,database security,excellent,Computer Architecture,testing,Sales and Marketing,yes,Applications Developer
199,full stack,cloud computing,poor,cloud computing,cloud computing,Finance,no,Applications Developer
200,hadoop,hacking,medium,data engineering,developer,Sales and Marketing,yes,Applications Developer
201,shell programming,system designing,poor,programming,system developer,SAaS services,no,Applications Developer
202,shell programming,web technologies,poor,Management,Business process analyst,SAaS services,yes,Applications Developer
203,distro making,game development,poor,Management,system developer,SAaS services,yes,Applications Developer
204,python,cloud computing,medium,Software Engineering,Business process analyst,Testing and Maintainance Services,yes,Applications Developer
205,machine learning,system designing,medium,hacking,testing,Finance,no,Applications Developer
206,distro making,web technologies,poor,Computer Architecture,system developer,Product based,no,Applications Developer
207,python,hacking,excellent,cloud computing,Business process analyst,Product based,yes,Applications Developer
208,hadoop,testing,medium,cloud computing,Business process analyst,Product based,no,Applications Developer
209,information security,game development,medium,networks,developer,Cloud Services,no,Applications Developer
210,machine learning,data science,excellent,Software Engineering,security,Web Services,yes,Applications Developer
211,r programming,system designing,poor,Software Engineering,security,Sales and Marketing,no,Applications Developer
212,information security,database security,medium,programming,developer,Service Based,yes,Applications Developer
213,python,hacking,poor,Management,system developer,Sales and Marketing,yes,Applications Developer
214,distro making,testing,excellent,Computer Architecture,developer,Sales and Marketing,no,Applications Developer
215,r programming,data science,excellent,cloud computing,security,Testing and Maintainance Services,yes,Applications Developer
216,hadoop,database security,medium,Software Engineering,developer,SAaS services,yes,Applications Developer
217,python,hacking,poor,parallel computing,cloud computing,Web Services,no,Applications Developer
218,full stack,database security,excellent,cloud computing,security,BPA,no,Applications Developer
219,python,testing,medium,hacking,developer,SAaS services,yes,Applications Developer
220,shell programming,database security,excellent,IOT,system developer,Cloud Services,yes,Applications Developer
221,full stack,data science,poor,Computer Architecture,system developer,BPA,yes,Applications Developer
222,machine learning,cloud computing,poor,hacking,Business process analyst,Product based,no,Applications Developer
223,shell programming,system designing,excellent,Management,system developer,BPA,yes,Applications Developer
224,machine learning,hacking,medium,programming,testing,Sales and Marketing,no,Applications Developer
225,python,data science,poor,Software Engineering,Business process analyst,BPA,yes,Applications Developer
226,hadoop,game development,excellent,data engineering,testing,product development,no,Applications Developer
227,shell programming,database security,excellent,Computer Architecture,Business process analyst,Product based,yes,Applications Developer
228,information security,system designing,excellent,data engineering,security,Cloud Services,yes,Applications Developer
229,python,web technologies,poor,cloud computing,testing,Testing and Maintainance Services,yes,Applications Developer
230,shell programming,hacking,poor,networks,security,Finance,yes,Applications Developer
231,full stack,data science,poor,networks,Business process analyst,BPA,no,Applications Developer
232,full stack,cloud computing,excellent,parallel computing,cloud computing,SAaS services,yes,Applications Developer
233,distro making,system designing,excellent,data engineering,cloud computing,product development,no,Applications Developer
234,full stack,database security,excellent,programming,cloud computing,Finance,no,Applications Developer
235,r programming,testing,excellent,data engineering,system developer,Finance,no,Applications Developer
236,r programming,cloud computing,medium,hacking,Business process analyst,Web Services,yes,Applications Developer
237,machine learning,game development,medium,Management,Business process analyst,product development,yes,Applications Developer
238,distro making,data science,medium,cloud computing,system developer,product development,yes,Applications Developer
239,shell programming,hacking,excellent,networks,system developer,Finance,yes,Applications Developer
240,full stack,testing,poor,Software Engineering,developer,Sales and Marketing,yes,Applications Developer
241,python,system designing,poor,Computer Architecture,security,Web Services,yes,Applications Developer
242,app development,database security,excellent,Management,Business process analyst,product development,yes,Applications Developer
243,python,hacking,poor,hacking,testing,Product based,no,Applications Developer
244,app development,game development,poor,Software Engineering,security,Web Services,no,Applications Developer
245,machine learning,game development,medium,Software Engineering,testing,Sales and Marketing,yes,Applications Developer
246,python,hacking,excellent,networks,testing,Testing and Maintainance Services,no,Applications Developer
247,shell programming,hacking,poor,IOT,Business process analyst,Product based,no,Applications Developer
248,information security,testing,excellent,IOT,developer,Web Services,no,Applications Developer
249,shell programming,web technologies,poor,networks,testing,SAaS services,no,Applications Developer
250,full stack,hacking,medium,networks,system developer,Finance,no,Applications Developer
251,full stack,web technologies,poor,data engineering,security,Cloud Services,yes,Applications Developer
252,python,testing,poor,parallel computing,cloud computing,Product based,yes,Applications Developer
253,distro making,hacking,poor,networks,testing,Testing and Maintainance Services,yes,Applications Developer
254,information security,cloud computing,poor,hacking,Business process analyst,Finance,no,Applications Developer
255,distro making,database security,excellent,hacking,security,Product based,no,Applications Developer
256,python,hacking,poor,Computer Architecture,security,BPA,yes,Applications Developer
257,app development,data science,excellent,Software Engineering,system developer,Web Services,no,Applications Developer
258,hadoop,testing,medium,parallel computing,system developer,Testing and Maintainance Services,yes,Applications Developer
259,app development,cloud computing,poor,data engineering,testing,SAaS services,no,Applications Developer
260,distro making,data science,medium,parallel computing,system developer,Sales and Marketing,yes,Applications Developer
261,r programming,web technologies,excellent,networks,system developer,Sales and Marketing,yes,Applications Developer
262,python,data science,medium,parallel computing,security,product development,yes,Applications Developer
263,shell programming,web technologies,medium,Computer Architecture,cloud computing,SAaS services,no,Applications Developer
264,r programming,testing,excellent,data engineering,system developer,Service Based,yes,Applications Developer
265,information security,system designing,poor,parallel computing,cloud computing,Web Services,yes,Applications Developer
266,r programming,web technologies,excellent,data engineering,developer,Sales and Marketing,yes,Applications Developer
267,full stack,game development,medium,Computer Architecture,Business process analyst,Product based,yes,Applications Developer
268,machine learning,testing,medium,networks,testing,Finance,no,Applications Developer
269,shell programming,system designing,excellent,programming,Business process analyst,BPA,no,Applications Developer
270,r programming,cloud computing,excellent,cloud computing,cloud computing,Cloud Services,yes,Applications Developer
271,machine learning,database security,medium,cloud computing,Business process analyst,Finance,no,Applications Developer
272,shell programming,testing,medium,hacking,cloud computing,Service Based,no,Applications Developer
273,python,web technologies,medium,Management,Business process analyst,Web Services,yes,Applications Developer
274,information security,cloud computing,poor,programming,Business process analyst,Product based,yes,Applications Developer
275,distro making,hacking,medium,cloud computing,cloud computing,Service Based,no,Applications Developer
276,r programming,cloud computing,medium,networks,developer,Cloud Services,no,Applications Developer
277,hadoop,data science,excellent,IOT,developer,product development,yes,Applications Developer
278,python,testing,poor,cloud computing,developer,Cloud Services,no,Applications Developer
279,python,game development,excellent,Computer Architecture,security,Finance,yes,Applications Developer
280,full stack,web technologies,excellent,IOT,testing,SAaS services,yes,Applications Developer
281,python,system designing,poor,Management,developer,Web Services,yes,Applications Developer
282,machine learning,data science,excellent,Software Engineering,developer,Testing and Maintainance Services,no,Applications Developer
283,distro making,database security,excellent,Software Engineering,testing,Service Based,no,Applications Developer
284,shell programming,web technologies,poor,Software Engineering,testing,Finance,no,Applications Developer
285,shell programming,database security,excellent,cloud computing,system developer,Testing and Maintainance Services,no,Applications Developer
286,distro making,cloud computing,poor,IOT,security,Cloud Services,yes,Applications Developer
287,python,data science,excellent,Management,developer,SAaS services,yes,Applications Developer
288,distro making,testing,medium,programming,developer,SAaS services,yes,Applications Developer
